Année;Région Code;Région;Sexe;Taux standardisé;Borne inférieure de l'intervalle de confiance du taux standardisé;Borne supérieure de l'intervalle de confiance du taux standardisé;Test statistique - Différences régionales
2014;76;Occitanie;Hommes et Femmes;12.2829;10.2344;14.674400000000002;C
2014;93;Provence-Alpes-Côte d'Azur;Hommes et Femmes;10.585600000000001;8.7353;12.7728;B
2017;11;Île-de-France;Femmes;4.152200000000001;3.3468;5.1411;A
2017;24;Centre-Val de Loire;Femmes;4.74;3.0355;7.3293;B
2017;44;Grand Est;Femmes;5.6741;4.2857;7.477200000000001;B
2017;75;Nouvelle Aquitaine;Femmes;6.0304;4.7745999999999995;7.590199999999999;B
2017;93;Provence-Alpes-Côte d'Azur;Femmes;6.396300000000001;4.9598;8.2129;B
2017;28;Normandie;Hommes;12.8658;9.7725;16.7565;B
2017;32;Hauts-de-France;Hommes;17.7345;15.004000000000001;20.8401;B
2017;44;Grand Est;Hommes;15.4553;12.999600000000001;18.2774;B
2017;52;Pays de la Loire;Hommes;13.475100000000001;10.884;16.5685;B
2017;11;Île-de-France;Hommes et Femmes;7.1174;6.2499;8.095099999999999;A
2017;28;Normandie;Hommes et Femmes;7.8770999999999995;6.1907;9.9741;A
2017;32;Hauts-de-France;Hommes et Femmes;11.5094;9.9303;13.3025;C
2017;53;Bretagne;Hommes et Femmes;10.7231;8.9474;12.801599999999999;B
2021;53;Bretagne;Femmes;3.5000000000000004;2.1999999999999997;5.3;B
2021;76;Occitanie;Femmes;5.4;3.9;7.3999999999999995;C
2021;3;Guyane;Hommes;9.0;6.2;12.7;B
2021;24;Centre-Val de Loire;Hommes;11.600000000000001;8.3;15.8;B
2021;27;Bourgogne et Franche-Comté;Hommes;11.5;8.4;15.2;B
2021;53;Bretagne;Hommes;11.799999999999999;8.6;15.7;B
2021;75;Nouvelle Aquitaine;Hommes;14.399999999999999;11.899999999999999;17.2;B
2021;76;Occitanie;Hommes;16.3;13.4;19.6;C
2021;84;Auvergne et Rhône-Alpes;Hommes;11.899999999999999;9.8;14.2;B
2021;93;Provence-Alpes-Côte d'Azur;Hommes;13.3;10.5;16.5;B
2021;2;Martinique;Hommes et Femmes;4.2;3.1;5.5;A
2021;3;Guyane;Hommes et Femmes;5.2;3.6999999999999997;7.3;A
2021;4;Réunion;Hommes et Femmes;5.4;4.2;6.7;A
2021;52;Pays de la Loire;Hommes et Femmes;9.700000000000001;7.6;12.0;B
2021;53;Bretagne;Hommes et Femmes;7.6;5.800000000000001;9.6;B
2000;32;Hauts-de-France;Femmes;11.4334;8.852699999999999;14.6454;B
2000;75;Nouvelle Aquitaine;Femmes;14.031199999999998;11.4041;17.1462;B
2000;27;Bourgogne et Franche-Comté;Hommes;27.4403;21.9954;33.6515;B
2000;28;Normandie;Hommes et Femmes;15.6665;12.684999999999999;19.1946;A
2000;32;Hauts-de-France;Hommes et Femmes;21.140800000000002;18.4634;24.0918;B
2000;52;Pays de la Loire;Hommes et Femmes;22.037200000000002;18.744;25.7258;B
2005;84;Auvergne et Rhône-Alpes;Femmes;7.728;6.4538;9.229099999999999;B
2005;93;Provence-Alpes-Côte d'Azur;Femmes;10.2332;8.519;12.2461;C
2005;24;Centre-Val de Loire;Hommes;21.4743;17.276600000000002;26.3668;B
2005;27;Bourgogne et Franche-Comté;Hommes;21.5142;18.0263;25.467299999999998;B
2005;28;Normandie;Hommes;19.8219;15.898000000000001;24.4328;B
2005;52;Pays de la Loire;Hommes;22.466900000000003;19.023799999999998;26.330599999999997;B
2005;75;Nouvelle Aquitaine;Hommes;23.9579;21.267;26.8731;B
2005;93;Provence-Alpes-Côte d'Azur;Hommes;20.8861;18.1285;23.9406;B
2005;24;Centre-Val de Loire;Hommes et Femmes;13.919999999999998;11.5489;16.6861;B
2005;32;Hauts-de-France;Hommes et Femmes;16.6569;14.890900000000002;18.5866;B
2005;75;Nouvelle Aquitaine;Hommes et Femmes;16.189;14.618400000000001;17.8931;B
2010;32;Hauts-de-France;Hommes;17.7412;15.277099999999999;20.5066;B
2010;53;Bretagne;Hommes;17.360999999999997;14.2824;20.941100000000002;B
