Année;Sexe;Classe d'âge;Nombre de décès;Taux brut;Taux standardisé
2019;Hommes et Femmes;18-24 ans;337.0;6.2;
2019;Hommes et Femmes;45-64 ans;3507.0;20.1;
2020;Hommes;18-24 ans;285.0;10.2;
2020;Hommes;25-44 ans;1568.0;19.7;
2020;Femmes;11-14 ans;7.0;0.4;
2020;Femmes;18-24 ans;92.0;3.4;
2020;Femmes;45-64 ans;936.0;10.4;
2020;Femmes;65-84 ans;630.0;10.0;
2020;Femmes;Tous;2241.5;6.4;6.5
2020;Hommes et Femmes;15-17 ans;60.0;2.4;
2020;Hommes et Femmes;18-24 ans;377.0;6.9;
2020;Hommes et Femmes;85 ans et plus;756.0;33.5;
2021;Hommes;00-10 ans;2.5;0.1;
2021;Hommes;11-14 ans;21.0;1.2;
2021;Hommes;15-17 ans;41.0;3.2;
2021;Hommes;25-44 ans;1545.0;19.4;
2021;Hommes;65-84 ans;1769.0;33.3;
2021;Hommes;85 ans et plus;563.0;77.8;
2021;Femmes;00-10 ans;0.0;0.0;
2021;Femmes;15-17 ans;33.0;2.7;
2021;Femmes;18-24 ans;111.0;4.1;
2021;Femmes;25-44 ans;412.0;5.0;
2021;Femmes;65-84 ans;594.0;9.3;
2021;Hommes et Femmes;15-17 ans;74.0;2.9;
2021;Hommes et Femmes;18-24 ans;396.0;7.2;
2021;Hommes et Femmes;25-44 ans;1957.0;12.0;
2021;Hommes et Femmes;65-84 ans;2363.0;20.2;
2022;Hommes;15-17 ans;37.0;2.8;
2022;Hommes;25-44 ans;1628.0;20.2;
2022;Hommes;65-84 ans;1785.0;33.0;
2022;Hommes;Tous;6917.0;21.0;21.0
2022;Femmes;Tous;2272.5;6.5;6.5
2022;Hommes et Femmes;15-17 ans;74.0;2.9;
2022;Hommes et Femmes;18-24 ans;402.0;7.2;
2022;Hommes et Femmes;25-44 ans;2051.0;12.5;
2022;Hommes et Femmes;45-64 ans;3419.0;19.6;
2022;Hommes et Femmes;85 ans et plus;802.0;35.3;
2023;Hommes;00-10 ans;2.5;0.1;
2023;Femmes;00-10 ans;0.0;0.0;
2023;Femmes;11-14 ans;9.0;0.5;
2023;Femmes;18-24 ans;112.0;4.1;
2023;Femmes;65-84 ans;554.0;8.3;
2023;Femmes;85 ans et plus;188.0;12.3;
2023;Hommes et Femmes;15-17 ans;77.0;3.0;
2019;Femmes;85 ans et plus;189.0;12.5;
2019;Hommes et Femmes;00-10 ans;2.5;0.0;
2020;Hommes;11-14 ans;21.0;1.2;
2020;Hommes;15-17 ans;40.0;3.1;
2020;Hommes;45-64 ans;2565.5;30.1;
2020;Hommes;85 ans et plus;599.0;83.2;
2020;Hommes;Tous;6721.0;20.6;20.8
2020;Femmes;15-17 ans;20.0;1.6;
2020;Femmes;85 ans et plus;157.0;10.2;
2020;Hommes et Femmes;00-10 ans;2.5;0.0;
2020;Hommes et Femmes;25-44 ans;1965.0;12.1;
2020;Hommes et Femmes;65-84 ans;2271.0;19.8;
2021;Hommes;Tous;6743.5;20.6;20.7
2021;Femmes;85 ans et plus;178.0;11.6;
2021;Femmes;Tous;2192.0;6.3;6.3
2021;Hommes et Femmes;00-10 ans;2.5;0.0;
2021;Hommes et Femmes;11-14 ans;37.0;1.1;
2021;Hommes et Femmes;Tous;8935.5;13.2;13.3
2022;Hommes;00-10 ans;0.0;0.0;
2022;Hommes;11-14 ans;17.0;1.0;
2022;Hommes;18-24 ans;281.0;9.9;
2022;Hommes;45-64 ans;2535.0;29.7;
2022;Hommes;85 ans et plus;634.0;86.2;
2022;Femmes;00-10 ans;2.5;0.1;
2022;Femmes;11-14 ans;22.0;1.3;
2022;Femmes;65-84 ans;615.0;9.4;
2022;Femmes;85 ans et plus;168.0;10.9;
2022;Hommes et Femmes;Tous;9189.5;13.5;13.5
2023;Hommes;25-44 ans;1582.0;19.5;
2023;Hommes;65-84 ans;1743.0;31.6;
2023;Hommes;85 ans et plus;562.0;75.8;
2023;Hommes;Tous;6656.5;20.1;20.1
2023;Femmes;15-17 ans;33.0;2.6;
2023;Femmes;25-44 ans;430.0;5.1;
2023;Femmes;45-64 ans;866.0;9.7;
2023;Femmes;Tous;2192.0;6.2;6.2
2023;Hommes et Femmes;00-10 ans;2.5;0.0;
2023;Hommes et Femmes;11-14 ans;20.0;0.6;
2023;Hommes et Femmes;65-84 ans;2297.0;18.9;
