Année;Région;Région Code;Sexe;Taux standardisés de personnes de 18-75 ans déclarant fumer tous les jours;Borne inférieure de l'intervalle de confiance du taux standardisés de personnes de 18-75 ans déclarant fumer tous les jours.;Borne supérieure de l'intervalle de confiance du taux standardisés de personnes de 18-75 ans déclarant fumer tous les jours.;Différences régionales entre taux standardisés de tabagisme quotidien chez les 18-75 ans
2000;Nouvelle Aquitaine;75;Hommes et Femmes;30.2961;27.345599999999997;33.4184;B
2014;Hauts-de-France;32;Hommes et Femmes;31.0877;27.8698;34.4993;B
2021;Île-de-France;11;Hommes et Femmes;22.439500000000002;20.6299;24.249200000000002;A
2021;Grand Est;44;Hommes et Femmes;26.8073;24.100099999999998;29.514499999999998;B
2005;Normandie;28;Hommes et Femmes;28.6003;25.493199999999998;31.923800000000004;B
2005;Centre-Val de Loire;24;Hommes et Femmes;26.445;23.2567;29.9;B
2010;Normandie;28;Hommes et Femmes;30.8016;28.0268;33.7224;B
2005;Grand Est;44;Hommes et Femmes;28.162599999999998;25.847199999999997;30.5998;B
2021;Bretagne;53;Hommes et Femmes;25.529200000000003;22.3883;28.670099999999998;B
2014;Bretagne;53;Hommes et Femmes;30.2241;26.4806;34.2502;B
2014;Pays de la Loire;52;Hommes et Femmes;24.9918;21.6338;28.6803;B
2021;Occitanie;76;Hommes et Femmes;28.5153;25.8391;31.1914;C
2014;Centre-Val de Loire;24;Hommes et Femmes;30.657;25.8682;35.903;B
2017;Nouvelle Aquitaine;75;Hommes et Femmes;28.1175;25.8651;30.4855;B
2005;Île-de-France;11;Hommes;32.6017;29.8748;35.4518;B
2005;Grand Est;44;Hommes;34.2304;30.5869;38.0698;B
2000;Grand Est;44;Hommes;36.688900000000004;31.8586;41.8022;B
2000;Hauts-de-France;32;Hommes;33.4732;28.8675;38.4169;B
2000;Bourgogne et Franche-Comté;27;Hommes;35.543400000000005;28.8707;42.829699999999995;B
2005;Occitanie;76;Hommes;31.501600000000003;28.4964;34.6701;B
2000;Nouvelle Aquitaine;75;Hommes;32.8311;28.355999999999998;37.6413;B
2005;Bretagne;53;Hommes;32.1255;28.299200000000003;36.208;B
2010;Hauts-de-France;32;Hommes;35.9905;32.7081;39.4093;B
2010;Bourgogne et Franche-Comté;27;Hommes;34.2717;29.6615;39.1991;B
2010;Pays de la Loire;52;Hommes;32.053399999999996;28.2416;36.1207;B
2014;Bretagne;53;Hommes;37.384699999999995;31.643;43.505300000000005;B
2014;Nouvelle Aquitaine;75;Hommes;34.2757;30.1813;38.6184;B
2021;Grand Est;44;Hommes;;;;
2017;Île-de-France;11;Hommes;24.111;21.9055;26.4633;A
2017;Grand Est;44;Hommes;32.8787;29.4078;36.5473;B
2021;Bretagne;53;Hommes;;;;
2017;Centre-Val de Loire;24;Hommes;31.438899999999997;26.4271;36.9242;B
2017;Auvergne et Rhône-Alpes;84;Hommes;28.9785;26.2226;31.8987;B
2017;Occitanie;76;Hommes;32.5122;29.124;36.0938;B
2021;Pays de la Loire;52;Hommes;;;;
2000;Hauts-de-France;32;Femmes;21.4233;17.9362;25.378800000000002;A
2010;Pays de la Loire;52;Femmes;20.5423;17.330000000000002;24.1759;A
2014;Île-de-France;11;Femmes;19.9126;17.51;22.5547;A
2014;Bourgogne et Franche-Comté;27;Femmes;24.4879;18.9437;31.0334;B
2014;Pays de la Loire;52;Femmes;20.4229;16.1914;25.424799999999998;B
2005;Bourgogne et Franche-Comté;27;Femmes;26.5409;22.9113;30.518;B
2005;Bretagne;53;Femmes;22.878999999999998;19.8962;26.1629;B
2005;Pays de la Loire;52;Femmes;18.8163;16.107;21.8625;A
2000;Bourgogne et Franche-Comté;27;Femmes;23.183899999999998;18.2453;28.985300000000002;B
2000;Pays de la Loire;52;Femmes;21.26;17.2272;25.9409;A
2017;Occitanie;76;Femmes;28.165200000000002;25.0368;31.5201;C
2017;Provence-Alpes-Côte d'Azur;93;Femmes;28.9677;25.5591;32.6315;C
2014;Auvergne et Rhône-Alpes;84;Femmes;25.4351;22.084200000000003;29.1045;B
2017;Normandie;28;Femmes;23.833299999999998;20.1099;28.004299999999997;B
2017;Centre-Val de Loire;24;Femmes;24.6976;20.0988;29.9541;B
2017;Nouvelle Aquitaine;75;Femmes;26.1438;23.1235;29.4077;B
2000;Occitanie;76;Femmes;29.796400000000002;25.5469;34.4259;B
2010;Auvergne et Rhône-Alpes;84;Femmes;24.7948;22.3549;27.406999999999996;B
2005;Auvergne et Rhône-Alpes;84;Femmes;22.2361;20.1103;24.5176;B
2021;Île-de-France;11;Femmes;;;;
2021;Auvergne et Rhône-Alpes;84;Femmes;;;;
2000;Hauts-de-France;32;Hommes et Femmes;27.2991;24.376900000000003;30.4308;B
2000;Bourgogne et Franche-Comté;27;Hommes et Femmes;29.2175;24.9568;33.8771;B
2000;Provence-Alpes-Côte d'Azur;93;Hommes et Femmes;34.0656;30.5045;37.8162;C
2017;Grand Est;44;Hommes et Femmes;30.0958;27.6876;32.618900000000004;C
2017;Hauts-de-France;32;Hommes et Femmes;30.4495;27.939999999999998;33.0809;C
2017;Normandie;28;Hommes et Femmes;25.5857;22.7328;28.663800000000002;B
2014;Normandie;28;Hommes et Femmes;31.5303;27.368399999999998;36.0112;B
2017;Île-de-France;11;Hommes et Femmes;21.3396;19.8805;22.8752;A
2005;Hauts-de-France;32;Hommes et Femmes;29.129699999999996;26.969900000000003;31.3883;B
2005;Pays de la Loire;52;Hommes et Femmes;23.6141;21.3188;26.074599999999997;A
2005;Auvergne et Rhône-Alpes;84;Hommes et Femmes;25.763599999999997;24.079700000000003;27.522600000000004;A
2021;Pays de la Loire;52;Hommes et Femmes;22.403100000000002;19.470499999999998;25.3357;A
2017;Pays de la Loire;52;Hommes et Femmes;23.0076;20.4527;25.778200000000002;A
2010;Bourgogne et Franche-Comté;27;Hommes et Femmes;31.704700000000003;28.6235;34.9552;B
2010;Bretagne;53;Hommes et Femmes;28.7775;26.0882;31.625500000000002;B
2010;Nouvelle Aquitaine;75;Hommes et Femmes;31.7848;29.5835;34.070699999999995;B
2010;Provence-Alpes-Côte d'Azur;93;Hommes et Femmes;33.1414;30.6208;35.762699999999995;C
2017;Occitanie;76;Hommes et Femmes;30.2831;27.9545;32.717600000000004;C
2014;Auvergne et Rhône-Alpes;84;Hommes et Femmes;26.3523;23.9536;28.899900000000002;B
2000;Pays de la Loire;52;Hommes;31.678600000000003;26.433899999999998;37.434400000000004;B
2005;Hauts-de-France;32;Hommes;35.153400000000005;31.8156;38.642900000000004;B
2000;Île-de-France;11;Hommes;34.6008;30.7214;38.6965;B
2000;Normandie;28;Hommes;32.0864;26.322400000000002;38.453900000000004;B
2005;Pays de la Loire;52;Hommes;28.638;24.9861;32.5918;B
2005;Provence-Alpes-Côte d'Azur;93;Hommes;33.1511;29.6832;36.8121;B
2000;Auvergne et Rhône-Alpes;84;Hommes;32.0769;28.156799999999997;36.2672;B
2000;Provence-Alpes-Côte d'Azur;93;Hommes;36.521;31.1904;42.2039;B
2010;Occitanie;76;Hommes;36.8361;33.411699999999996;40.3985;C
2010;Grand Est;44;Hommes;33.3409;30.201800000000002;36.635;B
2010;Normandie;28;Hommes;34.0407;29.7867;38.568599999999996;B
2010;Nouvelle Aquitaine;75;Hommes;33.3853;30.1644;36.769;B
2010;Auvergne et Rhône-Alpes;84;Hommes;29.6589;26.9377;32.5326;A
2014;Île-de-France;11;Hommes;28.3572;25.124800000000004;31.8286;A
2010;Provence-Alpes-Côte d'Azur;93;Hommes;34.5152;30.668200000000002;38.5762;B
2014;Hauts-de-France;32;Hommes;40.0581;35.065200000000004;45.266400000000004;C
2014;Pays de la Loire;52;Hommes;29.8049;24.7946;35.3518;B
2014;Auvergne et Rhône-Alpes;84;Hommes;27.320899999999998;23.9702;30.9493;A
2014;Occitanie;76;Hommes;36.2392;31.617299999999997;41.1304;B
2014;Provence-Alpes-Côte d'Azur;93;Hommes;35.8319;30.869400000000002;41.117599999999996;B
2017;Normandie;28;Hommes;27.420499999999997;23.2016;32.086;B
2014;Grand Est;44;Hommes;33.641;28.9238;38.7086;B
2017;Bourgogne et Franche-Comté;27;Hommes;34.1686;29.1462;39.5732;B
2017;Bretagne;53;Hommes;28.451500000000003;24.4884;32.7776;B
2017;Pays de la Loire;52;Hommes;25.084400000000002;21.248;29.355199999999996;A
2021;Hauts-de-France;32;Hommes;;;;
2021;Normandie;28;Hommes;;;;
2021;Bourgogne et Franche-Comté;27;Hommes;;;;
2021;Nouvelle Aquitaine;75;Hommes;;;;
2021;Occitanie;76;Hommes;;;;
2017;Provence-Alpes-Côte d'Azur;93;Hommes;35.551300000000005;31.5161;39.8029;C
2021;Centre-Val de Loire;24;Hommes;;;;
2005;Normandie;28;Femmes;24.831;21.316;28.714000000000002;B
2000;Normandie;28;Femmes;27.8717;22.8887;33.4688;B
2000;Île-de-France;11;Femmes;27.4032;24.4105;30.6143;B
2010;Île-de-France;11;Femmes;24.922900000000002;22.7871;27.1884;B
2010;Normandie;28;Femmes;27.7408;24.2562;31.5176;B
2010;Bretagne;53;Femmes;24.1763;20.8626;27.8312;B
2000;Grand Est;44;Femmes;26.967299999999998;23.1664;31.139;B
2014;Grand Est;44;Femmes;29.0194;24.8612;33.5623;C
2014;Centre-Val de Loire;24;Femmes;26.0289;19.4696;33.8686;B
2010;Centre-Val de Loire;24;Femmes;25.333499999999997;21.285999999999998;29.8587;B
2017;Île-de-France;11;Femmes;18.712899999999998;16.843;20.738599999999998;A
2000;Centre-Val de Loire;24;Femmes;22.7485;17.6323;28.829500000000003;B
2017;Pays de la Loire;52;Femmes;21.037300000000002;17.766199999999998;24.729599999999998;B
2005;Provence-Alpes-Côte d'Azur;93;Femmes;27.7237;24.968899999999998;30.6583;C
2000;Nouvelle Aquitaine;75;Femmes;27.8767;24.1014;31.994099999999996;B
2000;Auvergne et Rhône-Alpes;84;Femmes;27.7381;24.256;31.5122;B
2000;Provence-Alpes-Côte d'Azur;93;Femmes;31.734;27.0945;36.7672;C
2010;Occitanie;76;Femmes;29.3367;26.4098;32.4449;B
2005;Nouvelle Aquitaine;75;Femmes;25.265700000000002;22.733900000000002;27.9773;B
2005;Occitanie;76;Femmes;26.779700000000002;24.2056;29.5209;C
2021;Grand Est;44;Femmes;;;;
2021;Hauts-de-France;32;Femmes;;;;
2021;Normandie;28;Femmes;;;;
2021;Centre-Val de Loire;24;Femmes;;;;
2021;Bourgogne et Franche-Comté;27;Femmes;;;;
2021;Pays de la Loire;52;Femmes;;;;
2021;Occitanie;76;Femmes;;;;
2021;Provence-Alpes-Côte d'Azur;93;Femmes;;;;
