Num_Acc;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp
202000010022;154 724 617;B01;1;1;3;1;1968;1;0; -1; -1;0;0; -1
202000010022;154 724 618;A01;1;1;1;2;1998;1;8; -1; -1;0;0; -1
202000010236;154 724 241;A01;1;1;1;1;1991;5;1;8; -1; -1; -1; -1
202000010236;154 724 242;B01;2;2;4;2;1980;0;1;8; -1; -1; -1; -1
202000010236;154 724 242;B01;1;1;1;1;1972;0;1;8; -1; -1; -1; -1
202000010346;154 724 056;B01;1;1;4;1;1987;1;2;8; -1; -1; -1; -1
202000010346;154 724 057;A01;1;1;1;1;1962;0;1;8; -1; -1; -1; -1
202000010442;154 723 896;A01;1;1;4;1;1983;5;8; -1; -1; -1; -1; -1
202000010494;154 723 808;A01;1;1;2;1;1990;9;1; -1; -1;0;0; -1
202000010494;154 723 808;A01;2;2;4;1;1997;4;1; -1; -1;0;0; -1
202000010517;154 723 768;A01;1;1;1;1;1995;0;1;0; -1; -1; -1; -1
202000010517;154 723 769;B01;1;1;3;1;1995;9;2;8; -1; -1; -1; -1
202000010779;154 723 309;A01;1;1;3;1;1993;5;8;0; -1; -1; -1; -1
202000010779;154 723 310;B01;1;1;1;2;1980;5;1;0; -1; -1; -1; -1
202000010780;154 723 307;B01;1;1;1;2;1983;1;1;8; -1; -1; -1; -1
202000010780;154 723 308;A01;1;1;4;1;1942;5;2;8; -1; -1; -1; -1
202000011038;154 722 864;A01;1;1;1;1;1960;5;8; -1; -1;0;0; -1
202000011038;154 722 864;A01;10;3;2;1;2018;5;0; -1; -1;9;4;1
202000011039;154 722 862;A01;1;1;1;1;1991;5;2; -1; -1;0;0; -1
202000011039;154 722 863;B01;1;1;3;1;2002;5;0; -1; -1;0;0; -1
202000011208;154 722 538;B01;1;1;3;2;2004;0;2;8; -1; -1; -1; -1
202000011208;154 722 539;A01;1;1;1;2;1963;9;1;8; -1; -1; -1; -1
202000011480;154 722 053;A01;1;1;1;1;1984;1;1; -1; -1;0;0; -1
202000011480;154 722 054;B01;1;1;4;1;1994;5;0; -1; -1;0;0; -1
202000011536;154 721 954;A01;1;1;3;1;1989;0;1;5; -1;0;0; -1
202000011536;154 721 954;A01;2;2;4;2;2002;0;1;5; -1;0;0; -1
202000011536;154 721 955;B01;7;2;1;2;2016;5;8; -1; -1;0;0; -1
