Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
202000016599;4;Avenue du général de Gaulle; -1;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000016783;3;0003;0;;2;2;0;1;4;200;1;; -1;1;0;1;70
202000016889;4;Rue Lucien Vochel;0;;2;2;0;1;(1);(1);1;; -1;1;0;3;50
202000017314;3;0002;0;;2;1;0;1;1;500;1;; -1;1;0;1;50
202000017315;4;rue ROUGET DE L ' ISLE;0;;1;1;0;1;(1);(1);1;; -1;1;0;1;50
202000017476;3;0002; -1;;2;2;0;1;10;500;1;;5,5;1;0;1;50
202000017617;2;0001;0;;2;1;2;1;4;50;1;; -1;1;9;1;70
202000017644;3;0018;0;;2;2;0;1;1;300;1;; -1;1;0;1;50
202000017646;3;0003;0;;2;2;1;1;2;0;1;; -1;1;0;1;50
202000017887;4;BOULEVARD DES CITES;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000017888;3;0002;0;;2;1;1;1;2;0;1;; -1;1;0;1;50
202000017964;2;1;0;;3;4;0;1;4;900;1;; -1;1;0;2;70
202000018208;3;0018;0;;2;1;0;1;0;800;1;; -1;2;0;1;50
202000018209;2;0001;0;;1;2;0;1;4;0;1;; -1;1;0;1;90
202000018210;3;0024;0;;2;2;0;1;0;300;1;; -1;1;0;1;50
202000018508;3;0003;0;;2;2;0;1;0;50;1;; -1;1;0;1;50
202000018913;3;0017;0;;2;2;0;1;2;50;1;; -1;1;0;1;50
202000018914;3;0018;0;;2;1;0;2;3;590;1;; -1;1;0;1;50
202000019218;3;9; -1;;2;2;0;2;25;800;1;; -1;1;0;1;80
202000019373;4;Boulevard de la republique;0;;1;1;0;1;(1);(1);2;; -1;1;0;1;50
202000019374;3;0017;0;;2;2;0;1;3;0;1;; -1;1;0;1;50
202000019762;4;SCHOELCHER (RUE);0;;1;2;0;1;(1);(1);1;; -1;1;9;1;30
202000019763;4;VOLTAIRE(AVENUE);0;;1;2;0;1;(1);(1);1;; -1;1;0;1;50
202000019882;2;0001;0;;2;2;0;1;3;0;3;; -1;1;0;1;50
202000020122;3;0002; -1;;2;2;0;1;10;150;2;; -1;1;0;1;50
202000020137;3;0001;0;;2;2;0;1;4;400;1;; -1;1;0;1;50
