Date_RP#Annee;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Nombre_de_jeunes_de_6_16_ans_non_scolarises
2021;Guadeloupe;1409.938654243946
2022;Guadeloupe;1325.1113623976707
2015;Guyane;3298.8251199126244
2016;Guyane;3617.8846015930176
2017;Guyane;3895.0365967452526
2018;Guyane;3717.4394406080246
2019;Guyane;3744.0475819706917
2020;Guyane;3650.7442860007286
2021;Guyane;3556.024122595787
2022;Guyane;3456.1838163733482
2015;Hauts-de-France;18009.261599570513
2016;Hauts-de-France;19591.772116094828
2017;Hauts-de-France;21246.62222379446
2018;Hauts-de-France;21738.402500510216
2019;Hauts-de-France;21664.49219226837
2020;Hauts-de-France;22434.021937966347
2021;Hauts-de-France;23152.53446522355
2022;Hauts-de-France;21210.498535960913
2015;Martinique;1011.6989285945892
2016;Martinique;989.1932372450829
2017;Martinique;1018.1158683300018
2018;Martinique;965.1602336168289
2019;Martinique;941.2588754296303
2020;Martinique;1054.510842859745
2021;Martinique;1051.8777675032616
2022;Martinique;1022.6775284409523
2015;Normandie;7889.7323224544525
2016;Normandie;8681.35411837697
2017;Normandie;9540.520224422216
2018;Normandie;10095.338151037693
2019;Normandie;10009.373546779156
2020;Normandie;10744.637459039688
2021;Normandie;11070.387394815683
2022;Normandie;10231.61737145856
2015;Nouvelle-Aquitaine;12337.203541696072
2016;Nouvelle-Aquitaine;13683.759652554989
2017;Nouvelle-Aquitaine;15093.150682419538
2018;Nouvelle-Aquitaine;16168.43952703476
2019;Nouvelle-Aquitaine;16201.65259474516
2020;Nouvelle-Aquitaine;17785.944690018892
2021;Nouvelle-Aquitaine;18515.318338930607
2022;Nouvelle-Aquitaine;17492.376614958048
2015;Occitanie;13180.153380304575
2016;Occitanie;15014.498058915138
2017;Occitanie;17141.13367512822
2018;Occitanie;18247.481954455376
2019;Occitanie;18311.227489948273
2020;Occitanie;19782.904384076595
2021;Occitanie;20882.0761911273
2022;Occitanie;19228.68338173628
2015;Pays de la Loire;8203.646117150784
2016;Pays de la Loire;9386.39766702056
2017;Pays de la Loire;10614.440611422062
2018;Pays de la Loire;11409.980291068554
2019;Pays de la Loire;11410.442890644073
2020;Pays de la Loire;12229.627078950405
2021;Pays de la Loire;12590.045940876007
2022;Pays de la Loire;11515.931681782007
2015;Provence-Alpes-Côte d'Azur;11995.03129351139
2016;Provence-Alpes-Côte d'Azur;13627.57476812601
2017;Provence-Alpes-Côte d'Azur;15252.880780398846
2018;Provence-Alpes-Côte d'Azur;16194.37186524272
2019;Provence-Alpes-Côte d'Azur;16221.556240081787
2020;Provence-Alpes-Côte d'Azur;17129.27189898491
2021;Provence-Alpes-Côte d'Azur;17624.51750612259
2022;Provence-Alpes-Côte d'Azur;16426.530811309814
2015;Réunion;3334.8161520957947
2016;Réunion;3548.3577486872673
2017;Réunion;3688.0492782592773
2018;Réunion;4013.7577421069145
2019;Réunion;3993.432356595993
2020;Réunion;4217.588978946209
2021;Réunion;4400.344363749027
2022;Réunion;4113.881268441677
2015;Île-de-France;33587.309119701385
2016;Île-de-France;36924.37163335085
2017;Île-de-France;41107.149604707956
2018;Île-de-France;43532.48653501272
2019;Île-de-France;43543.88215349428
2020;Île-de-France;46042.9300676859
2021;Île-de-France;46815.00838330807
2022;Île-de-France;42358.26877025841

Date_RP#Annee;Lieu_domicile#France;Nombre_de_jeunes_de_6_16_ans_non_scolarises_1
;;
2015;Departements d'outre mer;8818.12061214447
2016;Departements d'outre mer;9348.217441886663
2017;Departements d'outre mer;9835.463727623224
2018;Departements d'outre mer;9995.780371665955
2019;Departements d'outre mer;9945.588801503181
2020;Departements d'outre mer;10345.159001648426
2021;Departements d'outre mer;10418.184908092022
2022;Departements d'outre mer;9917.853975653648
2015;France métropolitaine;156645.25960180163
2016;France métropolitaine;174204.86450639367
2017;France métropolitaine;193438.47315225005
2018;France métropolitaine;204890.9311041832
2019;France métropolitaine;204783.7958799155
2020;France métropolitaine;218458.23283240353
2021;France métropolitaine;225832.81802902467
2022;France métropolitaine;207134.22318363533

Date_RP#Annee;Lieu_domicile#France_avec_Mayotte;Nombre_de_jeunes_de_6_16_ans_non_scolarises_1
;France métropolitaine§Départements d'outre-mer (hors Mayotte)§Saint-Barthélémy§Saint-Martin;
2015;France (y compris Mayotte);165567.38486859202
2016;France (y compris Mayotte);183648.8122947216
2017;France (y compris Mayotte);203363.09906816483
2018;France (y compris Mayotte);214974.99991869926
2019;France (y compris Mayotte);214814.71356184795
2020;France (y compris Mayotte);229042.86905887877
2021;France (y compris Mayotte);236612.782407024
2022;France (y compris Mayotte);217578.63573080645
