Date_RP#Annee;Type_famille_RP#type_famille_3postes;Nombre_enfants_moins_25ans#nombre0_4plus;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Nombre_de_familles_selon_type_de_famille_et_nombre_d’enfant_s__de_moins_de_25_ans
;Famille monoparentale;1§2§3§4 ou plus;;;;Famille monoparentale;1§2§3§4 ou plus;;;;Famille monoparentale;1§2§3§4 ou plus;;
2021;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Bourgogne-Franche-Comté;91024.68933773041
2021;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Bretagne;103332.08916521072
2021;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Centre-Val de Loire;84749.6171683073
2021;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Corse;13577.187091171741
2021;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Grand Est;189033.18382573128
2021;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Guadeloupe;34158.56597220898
2021;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Guyane;27135.719752430916
2021;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Hauts-de-France;226184.10848140717
2021;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Martinique;30321.811081409454
2021;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Normandie;114542.35430908203
2021;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Nouvelle-Aquitaine;203830.2571220398
2021;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Occitanie;228965.84399425983
2021;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Pays de la Loire;114768.25272643566
2021;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Provence-Alpes-Côte d'Azur;210221.47363352776
2021;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Réunion;65358.66592609882
2021;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Île-de-France;508979.9557001591
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Auvergne-Rhône-Alpes;272853.0308653116
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Bourgogne-Franche-Comté;91815.82167333364
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Bretagne;105177.98360770941
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Centre-Val de Loire;86519.93801176548
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Corse;13771.037471413612
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Grand Est;190594.19139236212
