;;;Date_deces_Cim10#Annee;Cause_deces#Causes_de_deces_alphabetique;Lieu_domicile#commune;Nb_deces_standardises
;;;2018;Chap 10 : Maladies de l'appareil respiratoire;97312 - Sinnamary;0,00
;;;2018;Diabète;97312 - Sinnamary;0,00
;;;2018;Maladie chronique du foie;97312 - Sinnamary;0,00
;;;2018;Maladie de Parkinson;97312 - Sinnamary;0,00
;;;2018;Maladie hypertensive;97312 - Sinnamary;0,00
;;;2018;Maladies vasculaires cérébrales;97312 - Sinnamary;122,30
;;;2018;Sida;97312 - Sinnamary;0,00
;;;2018;Alzheimer;97314 - Ouanary;0,00
;;;2018;Asthme;97314 - Ouanary;0,00
;;;2018;Cancer de la prostate;97314 - Ouanary;0,00
;;;2018;Cancer de la trachée, des bronches et du poumon;97314 - Ouanary;0,00
;;;2018;Cancer du côlon-rectum;97314 - Ouanary;0,00
;;;2018;Cancer du sein;97314 - Ouanary;0,00
;;;2018;Cardiopathies ischémiques;97314 - Ouanary;0,00
;;;2018;Chap 10 : Maladies de l'appareil respiratoire;97314 - Ouanary;0,00
;;;2018;Diabète;97314 - Ouanary;0,00
;;;2018;Maladie chronique du foie;97314 - Ouanary;0,00
;;;2018;Maladie de Parkinson;97314 - Ouanary;0,00
;;;2018;Maladie hypertensive;97314 - Ouanary;0,00
;;;2018;Maladies vasculaires cérébrales;97314 - Ouanary;0,00
;;;2018;Sida;97314 - Ouanary;0,00
;;;2018;Alzheimer;97352 - Saül;0,00
;;;2018;Asthme;97352 - Saül;0,00
;;;2018;Cancer de la prostate;97352 - Saül;0,00
;;;2018;Cancer de la trachée, des bronches et du poumon;97352 - Saül;0,00
;;;2018;Cancer du côlon-rectum;97352 - Saül;0,00
;;;2018;Cancer du sein;97352 - Saül;0,00
;;;2018;Cardiopathies ischémiques;97352 - Saül;0,00
;;;2018;Chap 10 : Maladies de l'appareil respiratoire;97352 - Saül;0,00
;;;2018;Diabète;97352 - Saül;0,00
;;;2018;Maladie chronique du foie;97352 - Saül;0,00
;;;2018;Maladie de Parkinson;97352 - Saül;0,00
;;;2018;Maladie hypertensive;97352 - Saül;0,00
;;;2018;Maladies vasculaires cérébrales;97352 - Saül;0,00
;;;2018;Sida;97352 - Saül;0,00
;;;2018;Alzheimer;97353 - Maripasoula;0,00
;;;2018;Asthme;97353 - Maripasoula;0,00
;;;2018;Cancer de la prostate;97353 - Maripasoula;392,75
;;;2018;Cancer de la trachée, des bronches et du poumon;97353 - Maripasoula;0,00
;;;2018;Cancer du côlon-rectum;97353 - Maripasoula;0,00
;;;2018;Cancer du sein;97353 - Maripasoula;0,00
;;;2018;Cardiopathies ischémiques;97353 - Maripasoula;0,00
;;;2018;Chap 10 : Maladies de l'appareil respiratoire;97353 - Maripasoula;4,94
;;;2018;Diabète;97353 - Maripasoula;0,00
;;;2018;Maladie chronique du foie;97353 - Maripasoula;0,00
;;;2018;Maladie de Parkinson;97353 - Maripasoula;0,00
;;;2018;Maladie hypertensive;97353 - Maripasoula;17,94
;;;2018;Maladies vasculaires cérébrales;97353 - Maripasoula;0,00
;;;2018;Sida;97353 - Maripasoula;0,00
;;;2018;Alzheimer;97357 - Grand-Santi;0,00
;;;2018;Asthme;97357 - Grand-Santi;0,00
;;;2018;Cancer de la prostate;97357 - Grand-Santi;0,00
;;;2018;Cancer de la trachée, des bronches et du poumon;97357 - Grand-Santi;0,00
;;;2018;Cancer du côlon-rectum;97357 - Grand-Santi;0,00
;;;2018;Cancer du sein;97357 - Grand-Santi;0,00
;;;2018;Cardiopathies ischémiques;97357 - Grand-Santi;0,00
;;;2018;Chap 10 : Maladies de l'appareil respiratoire;97357 - Grand-Santi;0,00
;;;2018;Diabète;97357 - Grand-Santi;0,00
;;;2018;Maladie chronique du foie;97357 - Grand-Santi;0,00
;;;2018;Maladie de Parkinson;97357 - Grand-Santi;0,00
;;;2018;Maladie hypertensive;97357 - Grand-Santi;176,50
;;;2018;Maladies vasculaires cérébrales;97357 - Grand-Santi;176,50
;;;2018;Sida;97357 - Grand-Santi;0,00
;;;2018;Alzheimer;97358 - Saint-Élie;0,00
;;;2018;Asthme;97358 - Saint-Élie;0,00
;;;2018;Cancer de la prostate;97358 - Saint-Élie;0,00
;;;2018;Cancer de la trachée, des bronches et du poumon;97358 - Saint-Élie;0,00
;;;2018;Cancer du côlon-rectum;97358 - Saint-Élie;0,00
;;;2018;Cancer du sein;97358 - Saint-Élie;0,00
;;;2018;Cardiopathies ischémiques;97358 - Saint-Élie;0,00
