;;Date_RP#Annee;Age_personne#age_m3_35_612_1317_1824_2544_4559_6074_75ouPlus;Sexe_personne#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Population__totale_ou_par_âge_et_ou_genre_;;;;;
28;28,Normandie;2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Normandie;99747,21;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Normandie;98006,45
32;32,Hauts-de-France;2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Hauts-de-France;198722,21;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Hauts-de-France;193342,39
44;44,Grand Est;2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Grand Est;163948,53;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Grand Est;159681,46
52;52,Pays de la Loire;2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Pays de la Loire;119414,11;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Pays de la Loire;117590,30
53;53,Bretagne;2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Bretagne;95103,59;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Bretagne;93440,12
75;75,Nouvelle-Aquitaine;2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Nouvelle-Aquitaine;159497,60;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Nouvelle-Aquitaine;157858,83
76;76,Occitanie;2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Occitanie;169401,38;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Occitanie;167577,67
84;84,Auvergne-RhÃ´ne-Alpes;2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Auvergne-Rhône-Alpes;260046,79;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Auvergne-Rhône-Alpes;254823,77
93;93,Provence-Alpes-CÃ´te d'Azur;2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Provence-Alpes-Côte d'Azur;151930,31;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Provence-Alpes-Côte d'Azur;150090,09
94;94,Corse;2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Corse;9436,01;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Corse;9420,49
1;01,Guadeloupe;2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Guadeloupe;10741,52;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Guadeloupe;10540,11
2;02,Martinique;2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Martinique;9158,77;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Martinique;9097,38
3;03,Guyane;2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Guyane;19002,24;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Guyane;18733,50
4;04,La RÃ©union;2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Réunion;34267,05;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Réunion;34354,34
6;06,Mayotte;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;Date_RP#Annee;Age_personne#age_m3_35_612_1317_1824_2544_4559_6074_75ouPlus;Sexe_personne#sexe;Lieu_domicile#France;Population__totale_ou_par_âge_et_ou_genre__0_0;;;;;
;;;Moins de 3 ans;masculin§feminin;;;;Moins de 3 ans;masculin§feminin;;
;;2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Departements d'outre mer;73169,59;;;;;
;;2021;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;France métropolitaine;2043620,24;;;;;
;;;;;;2116789,82;;;;;
;;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;Departements d'outre mer;72725,33;;;;;
;;2022;Age rgp : -3 ans, 3-5, 6-12, 13-17, 18-24, 25-44, 45-59, 60-74, 75 ou +#Moins de 3 ans;Sexe;France métropolitaine;2007178,56;;;;;
;;;;;;2079903,90;;;;;
