Date_RP#Annee;Nombre_personnes_menage_RP#nombre0_6plus;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Nombre_de_menages_selon_la_taille_du_menage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Nombre : 1, 2, ?, 6 ou plus#3;97362 - Papaichton;99.75870704650879;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Nombre : 1, 2, ?, 6 ou plus#4;97301 - Régina;24.237689971923828;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Nombre : 1, 2, ?, 6 ou plus#4;97302 - Cayenne;2966.564868092537;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Nombre : 1, 2, ?, 6 ou plus#4;97303 - Iracoubo;64.53462600708008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Nombre : 1, 2, ?, 6 ou plus#4;97304 - Kourou;1148.8888535499573;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Nombre : 1, 2, ?, 6 ou plus#4;97305 - Macouria;958.9655513763428;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Nombre : 1, 2, ?, 6 ou plus#4;97306 - Mana;338.4502782821655;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Nombre : 1, 2, ?, 6 ou plus#4;97307 - Matoury;1742.4868309497833;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Nombre : 1, 2, ?, 6 ou plus#4;97308 - Saint-Georges;150.18914413452148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Nombre : 1, 2, ?, 6 ou plus#4;97309 - Remire-Montjoly;1389.3734941482544;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Nombre : 1, 2, ?, 6 ou plus#4;97310 - Roura;125.94106101989746;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Nombre : 1, 2, ?, 6 ou plus#4;97311 - Saint-Laurent-du-Maroni;1658.3287014961243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Nombre : 1, 2, ?, 6 ou plus#4;97312 - Sinnamary;109.50527000427246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Nombre : 1, 2, ?, 6 ou plus#4;97313 - Montsinéry-Tonnegrande;190.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
