;;Date_RP#Annee;Age_personne#age_m15_1524_2529_3034_3539_40plus;Sexe_personne#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Population__totale_ou_par_âge_et_ou_genre_;;;;;;;;;;
;;;15-24 ans§25-29 ans§30-34 ans§35-39 ans§40 ans et +;masculin§feminin;;;;15-24 ans§25-29 ans§30-34 ans§35-39 ans§40 ans et +;masculin§feminin;;;;15-24 ans§25-29 ans§30-34 ans§35-39 ans§40 ans et +;masculin§feminin;;
;;Date_RP#Annee;Age_personne#age_m15_1524_2529_3034_3539_40plus;Sexe_personne#sexe;Lieu_domicile#Regions_France_2017;Population__totale_ou_par_âge_et_ou_genre__0;;;;;;;;;;
;;;15-24 ans§25-29 ans§30-34 ans§35-39 ans§40 ans et +;masculin§feminin;;;;15-24 ans§25-29 ans§30-34 ans§35-39 ans§40 ans et +;masculin§feminin;;;;15-24 ans§25-29 ans§30-34 ans§35-39 ans§40 ans et +;masculin§feminin;;
11;11,ÃŽle-de-France;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Île-de-France;9903486,83;2021;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Île-de-France;9957697,06;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Île-de-France;10036206,67
24;24,Centre-Val de Loire;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Centre-Val de Loire;2126067,42;2021;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Centre-Val de Loire;2129352,64;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Centre-Val de Loire;2142471,17
27;27,Bourgogne-Franche-ComtÃ©;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Bourgogne-Franche-Comté;2333496,67;2021;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Bourgogne-Franche-Comté;2338367,53;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Bourgogne-Franche-Comté;2348604,22
28;28,Normandie;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Normandie;2742171,77;2021;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Normandie;2751551,88;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Normandie;2768436,42
32;32,Hauts-de-France;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Hauts-de-France;4851056,53;2021;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Hauts-de-France;4863792,34;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Hauts-de-France;4884888,28
44;44,Grand Est;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Grand Est;4619890,49;2021;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Grand Est;4629095,71;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Grand Est;4641769,74
52;52,Pays de la Loire;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Pays de la Loire;3128933,54;2021;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Pays de la Loire;3157159,31;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Pays de la Loire;3191973,07
53;53,Bretagne;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Bretagne;2798502,13;2021;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Bretagne;2824169,03;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Bretagne;2859514,79
75;75,Nouvelle-Aquitaine;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Nouvelle-Aquitaine;5082821,02;2021;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Nouvelle-Aquitaine;5122863,86;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Nouvelle-Aquitaine;5176246,75
76;76,Occitanie;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Occitanie;4993547,64;2021;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Occitanie;5044192,04;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Occitanie;5106159,86
84;84,Auvergne-RhÃ´ne-Alpes;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Auvergne-Rhône-Alpes;6621310,73;2021;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Auvergne-Rhône-Alpes;6664404,04;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Auvergne-Rhône-Alpes;6725730,82
93;93,Provence-Alpes-CÃ´te d'Azur;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Provence-Alpes-Côte d'Azur;4253885,97;2021;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Provence-Alpes-Côte d'Azur;4285912,93;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Provence-Alpes-Côte d'Azur;4330687,23
94;94,Corse;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Corse;291003,12;2021;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Corse;294516,54;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Corse;297937,90
1;01,Guadeloupe;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Guadeloupe;315782,41;2021;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Guadeloupe;317931,53;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Guadeloupe;318946,79
2;02,Martinique;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Martinique;303698,03;2021;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Martinique;304388,52;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Martinique;305610,67
3;03,Guyane;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Guyane;192138,72;2021;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Guyane;194673,54;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Guyane;196307,44
4;04,La RÃ©union;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Réunion;670499,94;2021;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Réunion;678948,56;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Réunion;688915,97
6;06,Mayotte;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;Date_RP#Annee;Age_personne#age_m15_1524_2529_3034_3539_40plus;Sexe_personne#sexe;Lieu_domicile#France;Population__totale_ou_par_âge_et_ou_genre__0_0;;;;;;;;;;
;;;15-24 ans§25-29 ans§30-34 ans§35-39 ans§40 ans et +;masculin§feminin;;;;15-24 ans§25-29 ans§30-34 ans§35-39 ans§40 ans et +;masculin§feminin;;;;15-24 ans§25-29 ans§30-34 ans§35-39 ans§40 ans et +;masculin§feminin;;
;;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Departements d'outre mer;1482119,09;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;France métropolitaine;53746173,87;;;;;;;;;;
;;;;;;55228292,96;;;;;;;;;;
;;2021;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Departements d'outre mer;1495942,15;;;;;;;;;;
;;2021;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;France métropolitaine;54063074,91;;;;;;;;;;
;;;;;;55559017,06;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;Departements d'outre mer;1509780,88;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-29, 30-34, 35-39, 40 ou +;Sexe;France métropolitaine;54510626,92;;;;;;;;;;
;;;;;;56020407,79;;;;;;;;;;
