Date_RP#Annee;Lieu_domicile#France_hexagonale;Age_personne#age_quinquenal_0_95;Sexe_personne#sexe;Population__totale_ou_par_âge_et_ou_genre_
2021;France métropolitaine;90-94 ans;masculin;190749.06454208493
2021;France métropolitaine;95 ans et plus;feminin;170015.49715906382
2021;France métropolitaine;95 ans et plus;masculin;43695.74007859826
2021;France métropolitaine;Moins d'un an;feminin;325881.4095515609
2021;France métropolitaine;Moins d'un an;masculin;342112.1833818555
2022;Departements d'outre mer;1-4 ans;feminin;50380.13280159235
2022;Departements d'outre mer;1-4 ans;masculin;50898.563522577286
2022;Departements d'outre mer;10-14 ans;feminin;71292.4984254837
2022;Departements d'outre mer;10-14 ans;masculin;73307.52426850796
2022;Departements d'outre mer;15-19 ans;feminin;70041.5153170228
2022;Departements d'outre mer;15-19 ans;masculin;73563.66037356853
2022;Departements d'outre mer;20-24 ans;feminin;53432.841172516346
2022;Departements d'outre mer;20-24 ans;masculin;52570.65841883421
2022;Departements d'outre mer;25-29 ans;feminin;54246.476785600185
2022;Departements d'outre mer;25-29 ans;masculin;45755.09822267294
2022;Departements d'outre mer;30-34 ans;feminin;60899.144259393215
2022;Departements d'outre mer;30-34 ans;masculin;48326.64062106609
2022;Departements d'outre mer;35-39 ans;feminin;62949.59422540665
2022;Departements d'outre mer;35-39 ans;masculin;50780.70434999466
2022;Departements d'outre mer;40-44 ans;feminin;65208.697227060795
2022;Departements d'outre mer;40-44 ans;masculin;52582.029259979725
2022;Departements d'outre mer;45-49 ans;feminin;68198.23323398829
2022;Departements d'outre mer;45-49 ans;masculin;58267.44054824114
2022;Departements d'outre mer;5-9 ans;feminin;66872.24589967728
2022;Departements d'outre mer;5-9 ans;masculin;68699.89871495962
2022;Departements d'outre mer;50-54 ans;feminin;73386.87585365772
2022;Departements d'outre mer;50-54 ans;masculin;64263.58377069235
2022;Departements d'outre mer;55-59 ans;feminin;71768.70178622007
2022;Departements d'outre mer;55-59 ans;masculin;64444.62975239754
2022;Departements d'outre mer;60-64 ans;feminin;62758.311269164085
2022;Departements d'outre mer;60-64 ans;masculin;57154.62971031666
2022;Departements d'outre mer;65-69 ans;feminin;51683.32375717163
2022;Departements d'outre mer;65-69 ans;masculin;46446.45599985123
2022;Departements d'outre mer;70-74 ans;feminin;40529.72306472063
2022;Departements d'outre mer;70-74 ans;masculin;34119.166606247425
2022;Departements d'outre mer;75-79 ans;feminin;29825.036479890347
2022;Departements d'outre mer;75-79 ans;masculin;23456.783203482628
2022;Departements d'outre mer;80-84 ans;feminin;21649.776353001595
2022;Departements d'outre mer;80-84 ans;masculin;15211.012809574604
2022;Departements d'outre mer;85-89 ans;feminin;13885.88041961193
2022;Departements d'outre mer;85-89 ans;masculin;8365.976705372334
2022;Departements d'outre mer;90-94 ans;feminin;6902.556270122528
2022;Departements d'outre mer;90-94 ans;masculin;3083.3390126228333
2022;Departements d'outre mer;95 ans et plus;feminin;3032.3428236842155
2022;Departements d'outre mer;95 ans et plus;masculin;990.0385890603065
2022;Departements d'outre mer;Moins d'un an;feminin;11394.310062170029
2022;Departements d'outre mer;Moins d'un an;masculin;11691.949131965637
2022;France métropolitaine;1-4 ans;feminin;1360955.0610801876
2022;France métropolitaine;1-4 ans;masculin;1420476.5945863426
2022;France métropolitaine;10-14 ans;feminin;1977314.520099789
2022;France métropolitaine;10-14 ans;masculin;2072883.2731626332
2022;France métropolitaine;15-19 ans;feminin;1958986.4883709252
2022;France métropolitaine;15-19 ans;masculin;2076789.1827169955
2022;France métropolitaine;20-24 ans;feminin;1843474.8414808214
2022;France métropolitaine;20-24 ans;masculin;1920274.7752611637
2022;France métropolitaine;25-29 ans;feminin;1863525.9877856076
2022;France métropolitaine;25-29 ans;masculin;1847983.333160013
2022;France métropolitaine;30-34 ans;feminin;2027469.3167114556
2022;France métropolitaine;30-34 ans;masculin;1957901.930355996
2022;France métropolitaine;35-39 ans;feminin;2107574.8483135104
2022;France métropolitaine;35-39 ans;masculin;2020284.1306914985
2022;France métropolitaine;40-44 ans;feminin;2096217.3187149167
2022;France métropolitaine;40-44 ans;masculin;2030858.3125779629
2022;France métropolitaine;45-49 ans;feminin;2133487.3533578515
2022;France métropolitaine;45-49 ans;masculin;2096218.3265359998
2022;France métropolitaine;5-9 ans;feminin;1881751.0493676662
2022;France métropolitaine;5-9 ans;masculin;1970702.8382695317
2022;France métropolitaine;50-54 ans;feminin;2211112.589096129
2022;France métropolitaine;50-54 ans;masculin;2147465.0592924356
2022;France métropolitaine;55-59 ans;feminin;2196538.231926799
2022;France métropolitaine;55-59 ans;masculin;2088132.7748846412
2022;France métropolitaine;60-64 ans;feminin;2117422.5798154473
2022;France métropolitaine;60-64 ans;masculin;1946346.8465114236
2022;France métropolitaine;65-69 ans;feminin;2034642.165392816
2022;France métropolitaine;65-69 ans;masculin;1799723.610107243
2022;France métropolitaine;70-74 ans;feminin;1861471.0359095335
2022;France métropolitaine;70-74 ans;masculin;1597159.9797792137
2022;France métropolitaine;75-79 ans;feminin;1378451.1747627556
2022;France métropolitaine;75-79 ans;masculin;1108911.2669401169
2022;France métropolitaine;80-84 ans;feminin;1061600.9762762785
2022;France métropolitaine;80-84 ans;masculin;749551.6251734197
2022;France métropolitaine;85-89 ans;feminin;854054.1754088104
2022;France métropolitaine;85-89 ans;masculin;479318.6663374007
2022;France métropolitaine;90-94 ans;feminin;481558.4180241525
2022;France métropolitaine;90-94 ans;masculin;197987.19454985857
2022;France métropolitaine;95 ans et plus;feminin;173170.66988757253
2022;France métropolitaine;95 ans et plus;masculin;44961.72908496857
2022;France métropolitaine;Moins d'un an;feminin;318394.95934152603
2022;France métropolitaine;Moins d'un an;masculin;333149.790197134
