Date_RP#Annee;Age_personne#Age_Quinquennal_0_65_ss_moins_1_an;Sexe_personne#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Personnes_vivant_seules_à_domicile__totale_ou_par_âge_et_ou_genre_
;65 ans et plus;masculin§feminin;;;;65 ans et plus;masculin§feminin;;;;65 ans et plus;masculin§feminin;;
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Auvergne-Rhône-Alpes;521746.7829325199
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Bourgogne-Franche-Comté;209759.03987550735
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Bretagne;246338.85742783546
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Centre-Val de Loire;181597.60003626347
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Corse;22328.30861401558
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Grand Est;355275.2637193203
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Guadeloupe;27677.693961143494
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Guyane;4652.350324749947
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Hauts-de-France;354946.08878946304
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Martinique;27090.17577123642
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Normandie;232952.34981560707
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Nouvelle-Aquitaine;452372.2354352474
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Occitanie;423095.5170549154
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Pays de la Loire;238075.85004591942
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Provence-Alpes-Côte d'Azur;395677.8564455509
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Réunion;30734.912546157837
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Île-de-France;632038.2997267246
