Date_RP#Annee;Age_personne#age_0_65;Sexe_personne#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Population__totale_ou_par_âge_et_ou_genre_
;6§7§8§9§10§11§12§13§14§15§16;masculin§feminin;;
2015;Age : 0,1,2, ..., 65 ou +;Sexe;97312 - Sinnamary;773.8678159713745
2016;Age : 0,1,2, ..., 65 ou +;Sexe;97312 - Sinnamary;764.4948883056641
2017;Age : 0,1,2, ..., 65 ou +;Sexe;97312 - Sinnamary;758.2474384307861
2018;Age : 0,1,2, ..., 65 ou +;Sexe;97312 - Sinnamary;752.0
2019;Age : 0,1,2, ..., 65 ou +;Sexe;97312 - Sinnamary;739.6889247894287
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97312 - Sinnamary;727.420389175415
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97312 - Sinnamary;713.0120334625244
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97312 - Sinnamary;645.2079772949219
2015;Age : 0,1,2, ..., 65 ou +;Sexe;97313 - Montsinéry-Tonnegrande;509.0
2016;Age : 0,1,2, ..., 65 ou +;Sexe;97313 - Montsinéry-Tonnegrande;520.7366847991943
2017;Age : 0,1,2, ..., 65 ou +;Sexe;97313 - Montsinéry-Tonnegrande;532.8851194381714
2018;Age : 0,1,2, ..., 65 ou +;Sexe;97313 - Montsinéry-Tonnegrande;642.4756507873535
2019;Age : 0,1,2, ..., 65 ou +;Sexe;97313 - Montsinéry-Tonnegrande;685.3537158966064
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97313 - Montsinéry-Tonnegrande;728.0
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97313 - Montsinéry-Tonnegrande;768.0173797607422
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97313 - Montsinéry-Tonnegrande;810.3080730438232
2015;Age : 0,1,2, ..., 65 ou +;Sexe;97314 - Ouanary;42.07499897480011
2016;Age : 0,1,2, ..., 65 ou +;Sexe;97314 - Ouanary;46.410000920295715
2017;Age : 0,1,2, ..., 65 ou +;Sexe;97314 - Ouanary;51.0
2018;Age : 0,1,2, ..., 65 ou +;Sexe;97314 - Ouanary;56.10000014305115
2019;Age : 0,1,2, ..., 65 ou +;Sexe;97314 - Ouanary;61.710001945495605
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97314 - Ouanary;67.83000111579895
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97314 - Ouanary;45.07704448699951
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97314 - Ouanary;34.45223808288574
2015;Age : 0,1,2, ..., 65 ou +;Sexe;97352 - Saül;27.631578624248505
2016;Age : 0,1,2, ..., 65 ou +;Sexe;97352 - Saül;27.8157901763916
2017;Age : 0,1,2, ..., 65 ou +;Sexe;97352 - Saül;28.0
2018;Age : 0,1,2, ..., 65 ou +;Sexe;97352 - Saül;28.0
2019;Age : 0,1,2, ..., 65 ou +;Sexe;97352 - Saül;28.0
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97352 - Saül;28.1842098236084
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97352 - Saül;25.7121901512146
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97352 - Saül;21.85510015487671
2015;Age : 0,1,2, ..., 65 ou +;Sexe;97353 - Maripasoula;2060.621109008789
2016;Age : 0,1,2, ..., 65 ou +;Sexe;97353 - Maripasoula;2224.4136123657227
2017;Age : 0,1,2, ..., 65 ou +;Sexe;97353 - Maripasoula;2533.779136657715
2018;Age : 0,1,2, ..., 65 ou +;Sexe;97353 - Maripasoula;2244.7915954589844
2019;Age : 0,1,2, ..., 65 ou +;Sexe;97353 - Maripasoula;2297.267936706543
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97353 - Maripasoula;2138.937400817871
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97353 - Maripasoula;1904.5211753845215
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97353 - Maripasoula;1684.5726890563965
2015;Age : 0,1,2, ..., 65 ou +;Sexe;97356 - Camopi;569.4058265686035
2016;Age : 0,1,2, ..., 65 ou +;Sexe;97356 - Camopi;575.2029151916504
2017;Age : 0,1,2, ..., 65 ou +;Sexe;97356 - Camopi;581.0
2018;Age : 0,1,2, ..., 65 ou +;Sexe;97356 - Camopi;590.3398323059082
2019;Age : 0,1,2, ..., 65 ou +;Sexe;97356 - Camopi;598.826005935669
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97356 - Camopi;607.2477035522461
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97356 - Camopi;536.8050947189331
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97356 - Camopi;535.8778028488159
2015;Age : 0,1,2, ..., 65 ou +;Sexe;97357 - Grand-Santi;2577.0
2016;Age : 0,1,2, ..., 65 ou +;Sexe;97357 - Grand-Santi;2746.729190826416
2017;Age : 0,1,2, ..., 65 ou +;Sexe;97357 - Grand-Santi;2927.9216651916504
2018;Age : 0,1,2, ..., 65 ou +;Sexe;97357 - Grand-Santi;2621.5323638916016
2019;Age : 0,1,2, ..., 65 ou +;Sexe;97357 - Grand-Santi;2643.4451599121094
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97357 - Grand-Santi;2668.471923828125
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97357 - Grand-Santi;2761.6331329345703
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97357 - Grand-Santi;2857.9611740112305
2015;Age : 0,1,2, ..., 65 ou +;Sexe;97358 - Saint-Élie;0.0
2016;Age : 0,1,2, ..., 65 ou +;Sexe;97358 - Saint-Élie;0.5856573581695557
2017;Age : 0,1,2, ..., 65 ou +;Sexe;97358 - Saint-Élie;1.0
2018;Age : 0,1,2, ..., 65 ou +;Sexe;97358 - Saint-Élie;0.7918638586997986
2019;Age : 0,1,2, ..., 65 ou +;Sexe;97358 - Saint-Élie;0.9981489181518555
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97358 - Saint-Élie;0.9997243285179138
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97358 - Saint-Élie;1.0011959075927734
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97358 - Saint-Élie;6.73406308889389
2015;Age : 0,1,2, ..., 65 ou +;Sexe;97360 - Apatou;2646.0
2016;Age : 0,1,2, ..., 65 ou +;Sexe;97360 - Apatou;2769.967514038086
2017;Age : 0,1,2, ..., 65 ou +;Sexe;97360 - Apatou;2900.2117919921875
2018;Age : 0,1,2, ..., 65 ou +;Sexe;97360 - Apatou;2935.178680419922
2019;Age : 0,1,2, ..., 65 ou +;Sexe;97360 - Apatou;2965.2457122802734
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97360 - Apatou;2995.0
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97360 - Apatou;3086.908836364746
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97360 - Apatou;3180.328224182129
2015;Age : 0,1,2, ..., 65 ou +;Sexe;97361 - Awala-Yalimapo;358.3591318130493
2016;Age : 0,1,2, ..., 65 ou +;Sexe;97361 - Awala-Yalimapo;362.0
2017;Age : 0,1,2, ..., 65 ou +;Sexe;97361 - Awala-Yalimapo;366.6810932159424
2018;Age : 0,1,2, ..., 65 ou +;Sexe;97361 - Awala-Yalimapo;371.6220922470093
2019;Age : 0,1,2, ..., 65 ou +;Sexe;97361 - Awala-Yalimapo;376.2060031890869
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97361 - Awala-Yalimapo;355.92259883880615
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97361 - Awala-Yalimapo;365.0854845046997
