;France hexagonale§Hors France hexagonale;;masculin§feminin;;;France hexagonale§Hors France hexagonale;;masculin§feminin;;;France hexagonale§Hors France hexagonale;;masculin§feminin
2021;Departements d'outre mer;55-59 ans;Sexe;134768.89862954617;;;;;;;;;
2021;Departements d'outre mer;60-64 ans;Sexe;116036.4655790925;;;;;;;;;
2021;Departements d'outre mer;65-69 ans;Sexe;94891.8450396061;;;;;;;;;
2021;Departements d'outre mer;70-74 ans;Sexe;70758.77819514275;;;;;;;;;
2021;Departements d'outre mer;75-79 ans;Sexe;51254.10898000002;;;;;;;;;
2021;Departements d'outre mer;80-84 ans;Sexe;35969.49450621009;;;;;;;;;
2021;Departements d'outre mer;85-89 ans;Sexe;21256.916875511408;;;;;;;;;
2021;Departements d'outre mer;90-94 ans;Sexe;9841.027667164803;;;;;;;;;
2021;Departements d'outre mer;95 ans et plus;Sexe;3915.9869213998318;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
2021;France métropolitaine;Moins d'un an;Sexe;667993.5929334164;;;;;;;;;
2021;France métropolitaine;1-4 ans;Sexe;2831498.3024002016;;;;;;;;;
2021;France métropolitaine;5-9 ans;Sexe;3904288.7163607776;;;;;;;;;
2021;France métropolitaine;10-14 ans;Sexe;4038357.4726498723;;;;;;;;;
2021;France métropolitaine;15-19 ans;Sexe;4019932.626091361;;;;;;;;;
2021;France métropolitaine;20-24 ans;Sexe;3714945.039944321;;;;;;;;;
2021;France métropolitaine;25-29 ans;Sexe;3699159.2290054113;;;;;;;;;
2021;France métropolitaine;30-34 ans;Sexe;3975959.7541595995;;;;;;;;;
2021;France métropolitaine;35-39 ans;Sexe;4110452.0872595906;;;;;;;;;
2021;France métropolitaine;40-44 ans;Sexe;4081301.666696757;;;;;;;;;
2021;France métropolitaine;45-49 ans;Sexe;4297027.338254273;;;;;;;;;
2021;France métropolitaine;50-54 ans;Sexe;4340739.67757082;;;;;;;;;
2021;France métropolitaine;55-59 ans;Sexe;4257967.100156128;;;;;;;;;
2021;France métropolitaine;60-64 ans;Sexe;4029694.080720365;;;;;;;;;
2021;France métropolitaine;65-69 ans;Sexe;3833296.4664452374;;;;;;;;;
2021;France métropolitaine;70-74 ans;Sexe;3345926.934691906;;;;;;;;;
2021;France métropolitaine;75-79 ans;Sexe;2326408.083898455;;;;;;;;;
2021;France métropolitaine;80-84 ans;Sexe;1818792.6627214253;;;;;;;;;
2021;France métropolitaine;85-89 ans;Sexe;1332645.8565619886;;;;;;;;;
2021;France métropolitaine;90-94 ans;Sexe;665115.0726455152;;;;;;;;;
2021;France métropolitaine;95 ans et plus;Sexe;213711.23723766208;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
2022;Departements d'outre mer;Moins d'un an;Sexe;23086.259194135666;;;;;;;;;
2022;Departements d'outre mer;1-4 ans;Sexe;101278.69632416964;;;;;;;;;
2022;Departements d'outre mer;5-9 ans;Sexe;135572.1446146369;;;;;;;;;
2022;Departements d'outre mer;10-14 ans;Sexe;144600.02269399166;;;;;;;;;
2022;Departements d'outre mer;15-19 ans;Sexe;143605.17569059134;;;;;;;;;
2022;Departements d'outre mer;20-24 ans;Sexe;106003.49959135056;;;;;;;;;
2022;Departements d'outre mer;25-29 ans;Sexe;100001.57500827312;;;;;;;;;
2022;Departements d'outre mer;30-34 ans;Sexe;109225.78488045931;;;;;;;;;
2022;Departements d'outre mer;35-39 ans;Sexe;113730.2985754013;;;;;;;;;
2022;Departements d'outre mer;40-44 ans;Sexe;117790.72648704052;;;;;;;;;
2022;Departements d'outre mer;45-49 ans;Sexe;126465.67378222942;;;;;;;;;
2022;Departements d'outre mer;50-54 ans;Sexe;137650.45962435007;;;;;;;;;
2022;Departements d'outre mer;55-59 ans;Sexe;136213.3315386176;;;;;;;;;
2022;Departements d'outre mer;60-64 ans;Sexe;119912.94097948074;;;;;;;;;
2022;Departements d'outre mer;65-69 ans;Sexe;98129.77975702286;;;;;;;;;
2022;Departements d'outre mer;70-74 ans;Sexe;74648.88967096806;;;;;;;;;
2022;Departements d'outre mer;75-79 ans;Sexe;53281.819683372974;;;;;;;;;
2022;Departements d'outre mer;80-84 ans;Sexe;36860.7891625762;;;;;;;;;
2022;Departements d'outre mer;85-89 ans;Sexe;22251.857124984264;;;;;;;;;
2022;Departements d'outre mer;90-94 ans;Sexe;9985.895282745361;;;;;;;;;
2022;Departements d'outre mer;95 ans et plus;Sexe;4022.381412744522;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
2022;France métropolitaine;Moins d'un an;Sexe;651544.74953866;;;;;;;;;
2022;France métropolitaine;1-4 ans;Sexe;2781431.65566653;;;;;;;;;
2022;France métropolitaine;5-9 ans;Sexe;3852453.887637198;;;;;;;;;
2022;France métropolitaine;10-14 ans;Sexe;4050197.793262422;;;;;;;;;
2022;France métropolitaine;15-19 ans;Sexe;4035775.6710879207;;;;;;;;;
2022;France métropolitaine;20-24 ans;Sexe;3763749.616741985;;;;;;;;;
2022;France métropolitaine;25-29 ans;Sexe;3711509.3209456205;;;;;;;;;
2022;France métropolitaine;30-34 ans;Sexe;3985371.2470674515;;;;;;;;;
2022;France métropolitaine;35-39 ans;Sexe;4127858.979005009;;;;;;;;;
2022;France métropolitaine;40-44 ans;Sexe;4127075.6312928796;;;;;;;;;
2022;France métropolitaine;45-49 ans;Sexe;4229705.679893851;;;;;;;;;
