;;Date_RP#Annee;Age_actif#age_m15_1524_2554_5564_65plus;Sexe_actif#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Nombre_d’actifs__total_ou_par_âge_et_ou_genre_;;;;;;;;;;
;;;15-24 ans§25-54 ans§55-64 ans§65 ans ou plus;masculin§feminin;;;;15-24 ans§25-54 ans§55-64 ans§65 ans ou plus;masculin§feminin;;;;15-24 ans§25-54 ans§55-64 ans§65 ans ou plus;masculin§feminin;;
4;04,La RÃ©union;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Réunion;393899,75;2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Réunion;396356,70;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Réunion;403318,93
6;06,Mayotte;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;Date_RP#Annee;Age_actif#age_m15_1524_2554_5564_65plus;Sexe_actif#sexe;Lieu_domicile#France;Nombre_d’actifs__total_ou_par_âge_et_ou_genre__1;;;;;;;;;;
;;;15-24 ans§25-54 ans§55-64 ans§65 ans ou plus;masculin§feminin;;;;15-24 ans§25-54 ans§55-64 ans§65 ans ou plus;masculin§feminin;;;;15-24 ans§25-54 ans§55-64 ans§65 ans ou plus;masculin§feminin;;
;;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Departements d'outre mer;848054,05;;;;;;;;;;
;;2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;France métropolitaine;30629607,18;;;;;;;;;;
;;;;;;31477661,23;;;;;;;;;;
;;2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Departements d'outre mer;850291,96;;;;;;;;;;
;;2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;France métropolitaine;30814223,51;;;;;;;;;;
;;;;;;31664515,48;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;Departements d'outre mer;857317,67;;;;;;;;;;
;;2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;France métropolitaine;31147605,57;;;;;;;;;;
;;;;;;32004923,24;;;;;;;;;;
