Accident_Id;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202200047055;31;03;2022;00:20;5;973;97305;1;1;2;7;CARREFOUR MATITI;5,0647973124; -52,5566196442
202200047133;30;03;2022;12:30;1;973;97302;2;2;1;3;SAINT ANTOINE (CHEMIN);4,9321040532; -52,2971789539
202200047199;26;10;2022;21:40;3;973;97353;2;1;1;7;Route de Sophie;3,6494810000; -54,0277630000
202200047351;9;05;2022;11:15;1;973;97302;2;1;1;3;MANGO (ROUTE);4,9321200000; -52,3180400000
202200047839;9;06;2022;17:05;1;973;97302;2;1;1;3;CABASSOU (ROUTE DE);4,9192400000; -52,3176200000
202200047844;9;06;2022;18:42;1;973;97302;2;1;1;3;BADUEL (ROUTE DE);4,9309900000; -52,3055300000
202200047849;9;06;2022;09:30;1;973;97302;2;1;1;3;FELIX EBOUE(ROCADE);4,9289253714; -52,3161756992
202200048043;20;09;2022;17:25;1;973;97302;2;2;1;3;JADFARD (RENE);4,9339826615; -52,3330454528
202200048088;10;09;2022;01:15;3;973;97302;2;2;1;3;LALLOUETTE(RUE);4,9395783713; -52,3340405524
202200048229;15;08;2022;19:50;4;973;97306;1;1;1;6;Avenue Ya et Siong;5,5672330000; -53,8824560000
202200048235;13;08;2022;05:08;3;973;97304;1;1;1;6;Route nationale 1 pk 52-54;5,1071450000; -52,6358410000
202200048262;29;11;2022;14:45;1;973;97302;2;1;3;7;MONTABO (ROUTE DE) 4;4,9325200000; -52,2903600000
202200048365;14;08;2022;08:22;1;973;97302;2;1;1;2;MONTABO (ROUTE DE) 1;4,9450100000; -52,3133900000
202200048599;16;02;2022;15:25;1;973;97302;2;1;1;6;HAMEAU DES ENCENS (RUE DU) Cité St Marti;4,9170500000; -52,2986900000
202200048952;13;08;2022;17:47;1;973;97302;2;1;1;6;MORTIN (CITE);4,9148939176; -52,3266604543
202200048956;13;08;2022;15:16;1;973;97302;2;1;1;2;MADELEINE (ROUTE DE LA);4,9185900000; -52,3217100000
202200048980;28;03;2022;20:30;5;973;97302;2;1;1;6;SPATULES (RUE DES) CITE EAU LISETTE;4,9270342779; -52,3221489787
202200049302;9;05;2022;15:35;1;973;97302;2;1;1;1;BADUEL (ROUTE DE);4,9287400000; -52,2987000000
202200049303;9;05;2022;11:20;1;973;97302;2;9;1;3;BARTHELEMY (RENE);4,9334642409; -52,3303712904
202200049404;7;01;2022;20:55;5;973;97302;2;4;1;1;RABAN (ROUTE DE);4,9349219642; -52,3142015934
202200049405;7;01;2022;16:00;1;973;97302;1;6;1;2;LEBLOND (ROND POINT);4,9206875400; -52,3302170634
202200049406;6;01;2022;00:35;5;973;97302;2;1;2;7;HEDER (place);4,9420007591; -52,3295612633
